appref,proposal,appstatus,siteadd,datevalid,decision,decisionNotice
HGY/2024/3031,Erection of a rear dormer roof extension,Decision Made,Flat B 107 The Avenue Tottenham London N17 6TE,04/11/2024,Approve with Conditions,07/1/2025
HGY/2024/3019,"T1: Maple - Crown reduce the height by 1.5 - 2.0m
Crown reduce the spread over neighbouring garden by 3.0m
Crown reduce the spread over garden by 2.5m

T2: Gleditsia - Crown reduce the height by 2.0 - 2.5m
Crown reduce the spread over neighbouring garden by 2.5m

T3: Yew - Crown reduce the height by 2.5m
Crown reduce the spread by 1.0m

Maintenance works in line with good arboricultural practice

T4: Ash - Situated on the rear boundary fence
Cut entire tree to ground level
This is a self-seeded overgrown tree with no amenity value",Decision Made,31 Cholmeley Park Hornsey London N6 5EL,01/11/2024,No Objections,09/1/2025
HGY/2024/2749,Change of ground floor front bay window from single glazed timber framed to double glazed upvc replica.,Decision Made,Flat A 61 The Avenue Hornsey London N10 2QG,30/10/2024,Approve with Conditions,07/1/2025
HGY/2024/2990,"Erection of a timber framed summerhouse (4m(d) x 3m(w)) at rear of garden (the ""Summerhouse"") between two side sheds (each 2.5m(d) x 1.5.(w)) (the ""Sheds"") (permission for sheds has already been given by the L.A under HGY/2022/3996). Summerhouse will be used for extra storage and to enjoy the garden during the summer months. Summerhouse is of a traditional design with an apex roof with ridge height 2.45m sloping to 2.02m. Summerhouse will only be visible from the garden of 112 Highgate Hill and partially from the garden of 108 (although will be in line with 108's summerhouse and sheds). It will be painted green to blend in with the hedge behind it the Sheds will be screened from view using planted hedging.",Decision Made,The Cottage 112 Highgate Hill Hornsey London N6 5HE,29/10/2024,Approve with Conditions,07/1/2025
HGY/2024/2964,Change of use from a single family dwellinghouse to a small house of multiple occupation (Use Class C4) - Retrospective.,Decision Made,31 Richmond Road Wood Green London N11 2QR,28/10/2024,Refuse,10/1/2025
HGY/2024/2963,"Formation of roof extension with alterations to first floor. Addition of three windows to side elevation, two to the rear elevation and one roof light on the front elevation and two rooflights to the rear.",Decision Made,15 Boundary Road Tottenham London N22 6AS,28/10/2024,Approve with Conditions,09/1/2025
HGY/2024/2955,Replacement of current timber windows with new UPVC windows on all facades.,Decision Made,126 Stroud Green Road Hornsey London N4 3RZ,25/10/2024,Approve with Conditions,03/1/2025
HGY/2024/2917,"I would like to apply to reduce the two Sycamores in the rear playground of the school, I have proposed to the client that the trees be reduced in height by 6mtrs(approx) and for all lower branches to be reduced back by 2mtrs(approx).
The trees are now very big and have become a concern for the school.",Decision Made,5 Princes Avenue Hornsey London N10 3LS,23/10/2024,No Objections,07/1/2025
HGY/2024/2903,"Approval of details pursuant to Conditions 3 (Details of Travel Plan-commercial), Condition 4 (Event management plan), Condition 6 (Construction Management Plan). Condition 7 (Secure cycle storage), Condition 9 (Part A) (Secured by Design Accreditation) and Condition 13 (Storage and collection of refuse) attached to planning permission HGY/2023/2113.",Decision Made,26 High Road Wood Green London N22 6BY,22/10/2024,Approve,10/1/2025
HGY/2024/0774,Conversion of the ground and basement levels of the building from an existing retail unit and four studio flats into two 2-bedroom flats (Class C3 Use).,Decision Made,54 Wightman Road Hornsey London N4 1RU,15/10/2024,Approve with Conditions,20/1/2025
HGY/2024/2831,Construction of a 2-storey plus lower ground level 2x bed dwelling on the vacant site south of Cornerways on the corner of Cranley Gardens and Ellington Road including landscaping and enclosed cycle and bin storage.,Decision Made,Cornerways Ellington Road Hornsey London N10 3DD,14/10/2024,Approve with Conditions,20/1/2025
HGY/2024/2816,Submission of details pursuant to condition 5 (Method of Construction) of planning permission reference HGY/2021/1313.,Decision Made,195 Sirdar Road Wood Green London N22 6QU,11/10/2024,Approve,13/1/2025
HGY/2024/2817,Submission of details pursuant to condition 4 (refuse and waste storage and recycling facilities) relating to planning permission reference HGY/2021/1313.,Decision Made,195 Sirdar Road Wood Green London N22 6QU,11/10/2024,Approve,13/1/2025
HGY/2024/2812,Submission of details pursuant to condition 3 (Sample Materials) of planning permission reference HGY/2021/1313.,Decision Made,195 Sirdar Road Wood Green London N22 6QU,11/10/2024,Approve,13/1/2025
HGY/2024/2760,Erection of rear ground floor extension and replacement of windows,Decision Made,58 Cromwell Avenue Hornsey London N6 5HL,07/10/2024,Approve with Conditions,13/1/2025
HGY/2024/2525,"Replacement and enlargement of the existing metal rear dormer window with a metal frame sliding system, addition of lead roof area to rear to allow for lowered cill, addition to rear of property of a single glazed sash window with concrete cill to match existing, and addition of one rear rooflight.",Decision Made,33 Leaside Avenue Hornsey London N10 3BT,03/10/2024,Approve with Conditions,10/1/2025
HGY/2024/2716,Approval of details pursuant to conditions 3 (Materials) attached to planning application ref: HGY/2024/1369.,Decision Made,Mansfield Heights Great North Road Hornsey London N2 0NY,03/10/2024,Approve,17/1/2025
HGY/2024/2464,"Side, rear and roof extensions to the existing building (which contains one C3 flat and one C4 small HMO) along with change of use of the C3 dwelling to a C4 small HMO.",Decision Made,52 Elmfield Avenue Hornsey London N8 8QG,02/10/2024,Approve with Conditions,07/1/2025
HGY/2024/2699,Approval of details to discharge condition 5 (Overheating) relating to planning permission ref. HGY/2022/2250,Decision Made,Land Rear Of 2-14 Kerswell Close Tottenham London,01/10/2024,Approve,16/1/2025
HGY/2024/2676,"Works to tree protected by a TPO.
T1: Lombardy poplar (15m): Reduce height by 6m to significantly reduce crown and reduce the risk of windthrow due to excessive decay at the base",Decision Made,34 Church Vale Hornsey London N2 9PA,30/9/2024,Approve with Conditions,13/1/2025
HGY/2024/2630,"T1) Holly - Fell to ground level and grind out stump as client would like to repave the drive and not have issues with the roots systems when paving the area
T2) Holly - Fell to ground level and grind out stump as client would like to repave the drive and not have issues with the roots systems when paving the area
T3) Holly - Fell to ground level and grind out stump as client would like to repave the drive and not have issues with the roots systems when paving the area",Decision Made,Flat C 30 Shepherds Hill Hornsey London N6 5AH,25/9/2024,No Objections,08/1/2025
HGY/2024/2598,"Erection of a single storey rear extension to replace the existing one including the creation of a new patio design.
Creation of a lightwell to the street elevation, extension of the existing basement with new bay, and replacement of existing access staircase at the front with sundry internal amendments.",Decision Made,12 Albany Road Hornsey London N4 4RJ,23/9/2024,Refuse,13/1/2025
HGY/2024/2227,Listed building consent for roof repairs; masonry repairs to north wall of the terrace; and repair and replacement of rainwater equipment to flat 2,Decision Made,71 High Street London N8 7QB,16/9/2024,Approve with Conditions,13/1/2025
HGY/2024/2475,"Removal of existing ground floor rear projection, erection of replacement single storey rear extension.",Decision Made,224 Moselle Avenue Wood Green London N22 6EX,16/9/2024,Approve with Conditions,17/1/2025
HGY/2024/2455,Replace the existing timber sash and casement windows with double glazed uPVC units.,Decision Made,17 Warham Road Hornsey London N4 1AR,06/9/2024,Approve with Conditions,15/1/2025
HGY/2024/2399,T1- Laurel tree- (9m)- cut to ground level.,Decision Made,Basement Flat A 25 Crescent Road Hornsey London N8 8AL,30/8/2024,No Objections,07/1/2025
HGY/2024/2345,Variation of Condition 2 (Approved drawings) and Condition 13 (Energy) attached to planning permission ref: HGY/2021/1604 to make changes to the external appearance of the proposed scheme and to replace the ground source heat pump with an air source heat pump.,Decision Made,10 Fordington Road London N6 4TJ,23/8/2024,Approve with Conditions,10/1/2025
HGY/2024/2324,"Re-Landscaping front garden area to improve access for tenant's disabled children. Works include construction of new retaining walls, concrete steps with safety balustrades, new boundary fencing, installation of a new platform lift and construction of a new vehicular access to hardstanding with a new vehicle crossing / dropped kerb across the public footpath.",Decision Made,43 Springfield Avenue Hornsey London N10 3SX,21/8/2024,Approve with Conditions,09/1/2025
HGY/2024/2268,"Replacement of existing timber sash windows with modern double glazed timber units on a like for like basis to frontage, and replacement windows to rear of property.",Decision Made,61 Victoria Road Hornsey London N4 3SN,15/8/2024,Approve with Conditions,10/1/2025
HGY/2024/2243,"T1 Ash
Fell to ground level and treat stump Provide 1 no. replacement tree minimum 12-14cm girth - Low water uptake tree from the following species: Betula pendula / Betula nigra / Gleditsia triacanthos ‘Inermis’ / Liriodendron tulipifera
T2 Holly
Fell to ground level and treat stump Provide 1 no. replacement tree minimum 12-14cm girth - Low water uptake tree from the following species: Amelanchier arborea ‘Robin Hill / Betula pendula / Betula nigra / Gleditsia triacanthos ‘Inermis’ /",Decision Made,22 Colney Hatch Lane Hornsey London N10 1DU,13/8/2024,No Objections,06/1/2025
HGY/2024/2169,Approval of details pursuant to conditions 4 (Construction management & logistics plan (MLP)) attached to planning application ref: HGY/2024/1369.,Decision Made,Mansfield Heights Great North Road Hornsey London N2 0NY,06/8/2024,Approve,14/1/2025
HGY/2024/1989,"Reduce height of both yews (T1 & T2) by 2m and trim overhang over client's drive and growing towards house, keeping in line with lower section, raise crown of larger yew (T3) to 3.5m over pavement, reduce branches over client's drive by 1.5m. Reason for works is to let more light into both the properties, to restrict the root growth, and to reduce the debris falling on the driveway.",Decision Made,45 Shepherds Hill Hornsey London N6 5QJ,17/7/2024,No Objections,09/1/2025
HGY/2024/1743,"Approval of details reserved by a conditions 7 (cycle storage), 9 (refuse collection) and 11 (landscaping) ref: HGY/2021/0692.",Decision Made,12 Broadlands Road Hornsey London N6 4AN,10/7/2024,Approve,17/1/2025
HGY/2024/1844,Replacement ground floor rear door (Retrospective),Decision Made,3 Grange Road Hornsey London N6 4AR,03/7/2024,Approve with Conditions,20/1/2025
HGY/2024/1780,Erection of a rear ground floor and first floor extension following the demolition of the existing back additions; erection of a mansard roof addition; and alterations to front layout to create a new parking space.,Decision Made,24 Cholmeley Park Hornsey London N6 5EU,25/6/2024,Refuse,14/1/2025
HGY/2024/1797,Approval of details reserved by a condition 14 (Sustainable Drainage) attached to planning application reference HGY/2021/3223.,Decision Made,Land between 145-147 Downhills Way London N17 6AH,13/6/2024,Refuse,15/1/2025
HGY/2024/1663,Approval of details reserved by a condition 8 (Construction Logistics Plan/Construction Management Plan) attached to planning application reference HGY/2021/3223.,Decision Made,Land between 145-147 Downhills Way London N17 6AH,13/6/2024,Refuse,17/1/2025
HGY/2024/1463,"T1 Ash tree - fell to combat subsidence damage to 22A Coolhurst Road, LONDON, N8 8EL,",Decision Made,First Floor Flat 20 Coolhurst Road Hornsey London N8 8EL,22/5/2024,No Objections,09/1/2025
HGY/2024/1446,Approval of details reserved by a condition 3 (Method of Construction) attached to HGY/2023/2701,Decision Made,Wood Green Common Station Road London N22,20/5/2024,Approve,15/1/2025
HGY/2024/1405,"AC units to rear of garage, remodelled front garden to provide off street parking",Decision Made,17 Priory Gardens Hornsey London N6 5QY,16/5/2024,Approve with Conditions,14/1/2025
HGY/2024/1365,Approval of details reserved by a conditions 1 & 2 attached to appeal decision reference APP/Y5420/W/23/3324866 for the change of use of property to a House in Multiple Occupation (HMO) for up to 6 Occupants (Class C4 Use).,Decision Made,13 St Pauls Road Tottenham London N17 0NB,14/5/2024,Approve,17/1/2025
HGY/2024/1053,Approval of details pursuant to condition 5 (Overheating) attached to planning permission HGY/2022/2250,Decision Made,Land Rear Of 2-14 Kerswell Close Tottenham London,15/4/2024,Disposed,17/1/2025
HGY/2023/2945,Erection of a new one and a half storey single family dwellinghouse on the rear garden of No. 46 Priory Road. (AMENDED DESCRIPTION),Decision Made,46 Priory Road Hornsey London N8 7EX,23/11/2023,Approve with Conditions,15/1/2025
HGY/2023/0863,Approval of details pursuant to condition 22 (Cycle Parking) attached to planning appeal reference APP/Y/5420/W/18/3218865 (original planning reference HGY/2018/1472),Decision Made,44-46 High Road London N22 6BX,28/3/2023,Approve,06/1/2025
